run,seed,step,hazard,alpha,pL_d3,pL_d5,pL_d7
2,6545,118,0.02,0.01,0.24,0.0,0.02
2,6545,119,0.0,0.01,0.38,0.02,0.0
2,6545,120,0.0,0.01,0.36,0.0,0.0
2,6545,121,0.02,0.01,0.3,0.0,0.02
2,6545,122,0.0,0.01,0.4,0.0,0.0
2,6545,123,0.0,0.01,0.24,0.0,0.0
2,6545,124,0.0,0.01,0.24,0.0,0.0
2,6545,125,0.0,0.01,0.32,0.0,0.0
2,6545,126,0.02,0.01,0.3,0.0,0.02
2,6545,127,0.0,0.01,0.14,0.0,0.0
2,6545,128,0.0,0.01,0.3,0.0,0.0
2,6545,129,0.0,0.01,0.52,0.02,0.0
2,6545,130,0.02,0.01,0.42,0.02,0.02
2,6545,131,0.0,0.01,0.42,0.06,0.0
2,6545,132,0.02,0.01,0.48,0.02,0.02
2,6545,133,0.0,0.01,0.42,0.0,0.0
2,6545,134,0.0,0.01,0.38,0.04,0.0
2,6545,135,0.0,0.01,0.34,0.02,0.0
2,6545,136,0.0,0.01,0.34,0.0,0.0
2,6545,137,0.0,0.01,0.38,0.04,0.0
2,6545,138,0.0,0.01,0.36,0.0,0.0
2,6545,139,0.0,0.01,0.44,0.0,0.0
2,6545,140,0.02,0.01,0.44,0.02,0.02
2,6545,141,0.0,0.01,0.22,0.0,0.0
2,6545,142,0.0,0.01,0.52,0.02,0.0
2,6545,143,0.02,0.01,0.48,0.02,0.02
2,6545,144,0.0,0.01,0.28,0.08,0.0
2,6545,145,0.02,0.01,0.42,0.0,0.02
2,6545,146,0.0,0.01,0.48,0.04,0.0
2,6545,147,0.02,0.01,0.3,0.02,0.02
2,6545,148,0.0,0.01,0.46,0.0,0.0
2,6545,149,0.0,0.01,0.28,0.0,0.0
3,4388,0,0.0,0.01,0.3,0.02,0.0
3,4388,1,0.0,0.01,0.3,0.0,0.0
3,4388,2,0.02,0.01,0.38,0.02,0.02
3,4388,3,0.02,0.01,0.34,0.02,0.02
3,4388,4,0.0,0.01,0.24,0.0,0.0
3,4388,5,0.0,0.01,0.32,0.06,0.0
3,4388,6,0.0,0.01,0.36,0.0,0.0
3,4388,7,0.0,0.01,0.02,0.0,0.0
3,4388,8,0.0,0.01,0.0,0.02,0.0
3,4388,9,0.02,0.01,0.02,0.0,0.02
3,4388,10,0.0,0.01,0.1,0.0,0.0
3,4388,11,0.0,0.01,0.04,0.0,0.0
3,4388,12,0.0,0.01,0.14,0.0,0.0
3,4388,13,0.0,0.01,0.04,0.0,0.0
3,4388,14,0.0,0.01,0.02,0.0,0.0
3,4388,15,0.0,0.01,0.04,0.0,0.0
3,4388,16,0.0,0.01,0.04,0.0,0.0
3,4388,17,0.0,0.01,0.04,0.0,0.0
3,4388,18,0.0,0.01,0.06,0.0,0.0
3,4388,19,0.0,0.01,0.06,0.0,0.0
3,4388,20,0.0,0.01,0.12,0.0,0.0
3,4388,21,0.0,0.01,0.06,0.0,0.0
3,4388,22,0.0,0.01,0.08,0.0,0.0
3,4388,23,0.0,0.01,0.06,0.0,0.0
